label,text-cat,pm-cat,sa-cat,cond-cat,Gloss of PM,Notes,Speech token
res, if someone says ``no the guidance wasn't good enough and our personal tutors weren't good enough'' then Neil's going to say to Dick 114: right that's your job ,r,A,Y,he's not going to ask those sorts of questions,,S1A-008 113
res, if he doesn't turn up I'll just you know go and get some sandwiches or something ,p --> q,C,Y,,,S1A-008 175
res, if you're doing phonetics analysis you know you should never record in Dolby ,q,D,Y,,,S1A-008 201
res, if you're doing phonetics analysis you should never record in C so I've been told ,q,D,Y,,,S1A-008 206
res," What you'll find is that people who are nearer the camera will be bleached out, people midway if that's how it's all been set up will be correctly exposed, and people falling back will be dark ",p --> q,A,Y,,,S1A-009 024
res,(226) I'm only covered to drive it in emergencys out there (228) If his hip gives way ,q,A,N,,,S1A-009 228
res, If you go on a bit you come to a corner shop ,p --> q,A,Y,,,S1A-010 008
res, off a stall up the left if you're going up ,p --> q,A,Y,,,S1A-010 030
res, if I had an `S' I could do a really clever word ,p --> q,A,Y,,,S1A-010 064
res, if you put it here you could give it a `W' ,p',D,Y,you could put it here,,S1A-010 107
res, you could do so much better than that if you'd only ,p',D,Y,you should put down more letters,,S1A-010 165
res, If I'm that interested I'll ask you if I may have a piece ,r,D,Y,I don't want anything to eat,,S1A-010 191
res, If you'd listened to me <laugh> you'd only be seventy behind <laugh> ,p',D,Y,you should have listened to me,,S1A-010 205
inf, if it meant I only had ten years I'd rather ,q',C,Y,I would rather live an easy life,,S1A-010 268
res, this is the class that doesn't take place if one of us doesn't turn up ,p --> q,A,Y,,,S1A-011 135
res, if I got scales I would be able to in future ,p',C,Y,I'm thinking of getting scales,,S1A-011 184
res, if we got out there we'd have a very very long walk indeed ,p',D,Y,we shouldn't get out there,,S1A-011 190
res, they would do up if you're a stone upwards probably ,p --> q,A,Y,,even if,S1A-011 202
res, you'd know if you'd put on a lot of weight ,p',A,Y,you haven't put on a lot of weight,,S1A-011 208
inf," it doesn't matter so long, I mean if they weighed you a STONE light, as long as they constantly weigh you and that's all ",q,A,N,,even if,S1A-011 237
res," If I knew for a fact that you're not going dancing tomorrow night, that this would mean that a lot of people wouldn't know I could go to tomorrow night ",p',D,Y,tell me whether you're going tomorrow night,,S1A-011 267
ifh, I can dig the stuff out on it if there's any interest ,q,C,N,,,S1A-012 066
inf, if you pay it must by definition be better ,p --> q,A,Y,,,S1A-012 151
inf, they think they're getting a good deal if they're paying you know ,p --> q,A,Y,,,S1A-012 157
inf, they think they're getting a good deal if they're paying you know if they're handing over the dosh ,p --> q,A,Y,,,S1A-012 157
res, they'd be quite happy to send their daughter to a boys' school if they had the chance ,q,A,N,,,S1A-012 223
res,(092:A) Is that an irritation when you have a vague feeling you've lent a book to somebody and you can't quite figure it out? (094:E) If it's a paperback no ,p --> q,A,Y,,,S1A-013 094
res, if it's a hardback ,p,A,N,,no consequent,S1A-013 095
res, I'd be far more upset if somebody say scratched one of my records than tore one of my books ,p --> q,A,Y,,,S1A-013 189
res," If I'm sort of you know pigged off with things at school I will pick up Pride and Prejudice and immerse myself in this you know sort of society where everything was simplistic, because all a woman wants is a man to marry her ",p --> q,A,Y,,,S1A-013 253
inf, It's a joke if you say that in the Soviet Union you're going for a holiday in Sochi that you're going to go and going to have an abortion ,p --> q,A,Y,,,S1A-014 069
inf, even if they are teachers of English they're only friendly with you because they wanted your underwear or your tapes ,q,A,Y,,even if,S1A-014 138
res, if you went to a hotel all the waiters were in on the in on the act ,q,A,N,,,S1A-014 151
res,(001) Certain maniacs transmit by electronic mail binary encoded pornographic pictures (005) if you're a software freak you can no doubt find out what they're of ,p --> q,A,Y,,,S1A-015 005
res, if a financial director comes in and happens to read it then you know you're in the clear ,p --> q,A,Y,,even if,S1A-015 023
res, If you were a castaway on a desert island which eight books would you take with you? ,p --> q,D,Y,,question,S1A-016 003
res, I couldn't sleep if I didn't read ,p',A,Y,I always read before bed,,S1A-016 225
ifh,(345) I told you I only read textbooks (347) `reference books' if you like ,q,A,N,,,S1A-016 347
res, it would've been nice if I HAD known ,p',A,Y,I wish I had known,,S1A-017 085
res, If you're a child you have rabbits for children ,p --> q,A,Y,,,S1A-017 134
res," If I introduce Laura to somebody, ``this is Laura'' she says (172) yes (173) and I've known Ian for eighteen years ",p --> q,A,Y,,,S1A-017 171
res, If this is recorded and kept and filed they'll find some people from the nineteen ninety-ones talking about big blanks <laugh> ,p --> q,A,Y,,,S1A-017 342
res, if you get me interviewed (380) it probably will get quite personal ,p --> q,A,Y,,,S1A-017 378
res, If you get an interview with me and Toni it probably will get ,p --> q,A,Y,,,S1A-017 380
inf, you could have it if you're lecturing couldn't you ,q,D,Y,,,S1A-018 330
res, They're all right if they're dry ,p --> q,A,Y,,,S1A-019 024
res,(044:A) Why is some champagne pink? (045:E) I think if they put in a a red grape or a ros\'e grape or something ,p,A,Y,,no consequent,S1A-019 045
res, if I get the job I'll rent for a while until the house prices pick up ,p --> q,C,Y,,,S1A-019 277
res, if she sold the house they've got at the moment (322) she would have it money then ,p --> q,A,Y,,,S1A-019 320
inf,(355:C) They don't want to come down from London (358:A) That's the trouble if you're out a bit isn't it ,q,A,Y,,,S1A-019 358
res, it's all right if you've got a car ,p --> q,A,Y,,,S1A-019 370
inf, if you've got her telephone number you picked her up ,q,A,Y,,,S1A-020 017
inf, if she's a student at Saint Martin's she would presumably be covered ,q,A,Y,,,S1A-020 068
res, If you rang her NOW she'd say yes Louis ,q',A,Y,she is interested in you,,S1A-020 138
inf, if it was a low class woman ,q,A,N,,no consequent,S1A-020 159
pch, if I remember Boswell's London Journal he almost invariably does ,q,A,Y,,,S1A-020 162
res,(221) Does she play tennis? (225) You'll be lucky if she doesn't ,p',A,Y,hopefully she doesn't play tennis,,S1A-020 225
res, it would be a great blessing if they can speak for a half an hour or something ,p',D,Y,,,S1A-021 161
ifh,(306:A) are you going to be doing any art (309:C) Well a bit if we can ,q,C,Y,,,S1A-021 309
res, If you want to take it ,p --> q',D,N,if you want to take it you can,no consequent,S1A-022 195
res, if you cut it too far you tend to lose the support ,p',D,Y,be careful not to cut it too far,,S1A-022 261
ifh, you can break into the pears if you want to ,q,D,N,,,S1A-023 001
pch,(163) It doesn't seem to have a weight on it but it looks about the same (164) If anything it seems lighter ,q,A,Y,,,S1A-023 164
inf, if he's gone against the agent's advice already and slapped another fifty on top he's hardly likely to suddenly come right down again ,q,A,Y,,,S1A-023 272
inf," it probably means that they're not in a hurry to sell, necessarily if they've already moved ",q,A,Y,,,S1A-023 314
inf, if you're going to be on the borders of Swiss Cottage and St John's Wood that's where you are isn't it? ,q,D,Y,,question,S1A-023 325
pch, if she really means that then she's some way away from it ,q,A,Y,,,S1A-023 326
inf, she would have said if she was that close to it ,p',A,Y,she's not that close to it,,S1A-023 328
res, If one's gone through those procedures then it wouldn't take very long I think to clean up the rest ,p --> q,A,Y,,,S1A-024 061
res, Akiva if time permits may also do some work on that ,q,A,Y,,,S1A-024 094
res, it would be very useful for the project if he did that ,p',A,Y,I hope he does that,,S1A-024 094
res, if I have some idea of what sentence grammar would be like then I can make a BETTER stab at getting out a text grammar ,p --> q,C,Y,,,S1A-024 135
res, if you go before five o'clock it's three pounds ,p --> q',A,Y,"if you go before five o'clock, you can get it for three pounds",,S1A-025 042
res, they usually do about four pounds if you go before five o'clock or something ,p --> q',A,Y,you can usually get it for about four pounds if you go before five o'clock or something,,S1A-025 047
res, if people want to read a book on holiday they would buy it for about ,p --> q,A,Y,,,S1A-025 314
res, if they become hungry they eat the book ,p --> q,A,Y,,,S1A-025 315
res, I think that this would be a really ace idea if as a bold initial strategy we decided what on earth the notes were ,p',D,Y,we should decide what the notes are,,S1A-026 001
res, what would I sing? if we're filling holes in that chord ,p --> q,D,Y,,question,S1A-026 076
res, if we're actually singing something at the time then we want to kind of be aware of <unclear-words> ,p --> q,D,Y,,,S1A-026 194
dir,(014) So this is going to be a question of who you know not what you know (017) So if you can work on that one ,p,D,N,,no consequent,S1A-027 017
res, it's the end of information technology if you change things ,p',D,N,don't change things,,S1A-027 018
inf, if HE'S got it there's no way I'M going after it ,q,C,Y,,,S1A-027 055
res, if they come to us and say ``we want to leave because we're unhappy'' then we'd take them on ,p --> q,C,Y,,,S1A-027 062
res, if you want to borrow something from somebody you pay costs ,p --> q,A,Y,,,S1A-027 077
res, if the market's going on a bit longer they go and have a teabreak ,p --> q,A,Y,,,S1A-027 158
pch, if I remember rightly you had jaundice didn't you? ,q,D,Y,,question,S1A-028 051
dir, if you want to come up and see it sometime there ,p,D,N,,no consequent,S1A-029 043
ifh, if you like I can negotiate something on that ,q,C,N,,,S1A-029 078
res," if you're producing a package most database manufacturers let you buy, I can't recall the words for it, but they let you buy it so that you buy it once for a bit more, the runtime version of it basically ",q,A,N,,,S1A-029 088
inf, if you're doing it in runtime by the way it doesn't actually matter ,q,A,Y,,,S1A-029 344
inf, if it's costed and it's paid for by the company then it doesn't matter does it ,q,A,Y,,,S1A-030 007
inf, I have if I want Betty to go ,q,A,Y,,,S1A-030 023
inf, if I want <unclear-words> it's going to cost me twenty quid ,p --> q,A,Y,,,S1A-030 027
res,(186:B) It would just get nicked (188:A) Not if we put it somewhere special ,p',D,Y,we should put it somewhere special,,S1A-030 188
res, if we've got some beer we can say ``right (194) we've got some beer (195) you can buy off US ,p',D,Y,we should get some beer,,S1A-030 193
res, If you wanted to give him six quid you did ,p --> q,A,Y,,even if,S1A-030 197
res, if we lock it away we can like say ``yeah we got a crate'' ,p',D,Y,we should lock it away,,S1A-030 201
res, If no one's in sod it's all going to stay as it is ,p --> q',C,Y,"if no one's in, I'm not going to clean it",,S1A-030 243
res, if there's no food in the fridge (011) I mean Chris wouldn't mind just having CEREAL for supper whereas William looks in the fridge and there's no food ,p --> q,A,Y,,,S1A-031 010
res, if she was eighteen she might have a sexual relationship of her own ,p --> q,A,Y,,,S1A-031 057
res, if William is at a concert and is coming home we can't make love ,p --> q,A,Y,,,S1A-031 069
inf, for Nell to know that a happy sex life is going on in the same house when you're fourteen is the worst age than if she was seven or eight ,p --> q,A,Y,,,S1A-031 071
inf, for Nell to know that a happy sex life is going on in the same house when you're fourteen is the worst age than if she was eighteen ,p --> q,A,Y,,,S1A-031 071
res,(086:B) This might have happened whatever (089:A) You mean even if you and Bernard had stayed together ,q,A,Y,,even if,S1A-031 089
res," Even if we had stayed together there might have, you know, had endless hormones and glands problems ",q,A,Y,,even if,S1A-031 090
res, if Dad finds somebody where will my home be then? ,r,D,Y,,question,S1A-031 122
res," if there are a couple around, an older couple they need a sort of cementing bond of a child ",p --> q,A,Y,she thinks couples need a cementing bond of a child,,S1A-031 124
res, if one was a psychiatrist and supposing she'd said that to a psychiatrist what would they say? ,p --> q,D,Y,what would a psychiatrist say about it?,,S1A-031 128
res, if it isn't got over properly I think can leave a lasting problem ,p',D,Y,she has to get over it,,S1A-031 150
res, it's very difficult if you never have ,p --> q,A,Y,,,S1A-031 189
inf, it's also very difficult if <laugh> communication is virtually nil ,p --> q,A,Y,,even though,S1A-031 190
res, If you didn't put your feet up on me ,p --> q',D,Y,stop putting your feet on me,,S1A-032 021
res, if you got somewhere then that's great ,p --> q,A,Y,,,S1A-033 100
inf," if one's mixing possibly with other people who are doing the same sort of thing, you know you've got half a dozen courses in solo singing (115) Sometimes it's worth looking through ",q,D,N,,,S1A-033 111
inf, if one says ``right could be around next year in London or wherever'' 133: It's worth looking down ,q,D,N,,,S1A-033 131
tm, If it's somewhere else they may have an equivalent to Floodlight ,p --> q,A,Y,somewhere else might have an equivalent to Floodlight,,S1A-033 132
inf," if you're there, not now, yes I know, cos you've got finals and everything else, but another year with a bit of, you know, preparation it'd be worth investigating those ",q,D,N,,,S1A-033 133
dir, if I can get some useful background for that it'd be worth investigating those ,p --> q,C,N,,,S1A-033 133
inf, your first degree has got to relate pretty closely if you're going to get on a course in most cases ,q',D,Y,whether you get on a course depends on your first degree,,S1A-033 174
inf," What you have to do is maybe check if, say, you wanted to do a course in London at, say, the Institute of Education or at King's or wherever ",q,D,Y,,,S1A-033 179
res, if you could show them there's enough in what you've studied within your course that would relate to literature and maths and and whatever's taught you might just squeak in ,p --> q,A,Y,,,S1A-033 187
res, If you haven't got it then it might mean a year off and then working with youth or community work or some sort of relevant age group ,p --> q,D,Y,,,S1A-033 193
ifh," it wasn't kind of wasn't really stimulating me enough really after, kind of like, years of of of being kind of like, sort of `battery educated' if you like ",q,A,N,,,S1A-034 056
ifh, if I were to be able to do it I would see that as something in the future ,q',C,N,I would like to do that in the future,,S1A-035 004
ifh, I'd be very interested in travelling and working abroad if possible ,q,C,N,,,S1A-035 006
pch,I was wondering if there were any opportunity to do anything like that abroad as a volunteer if not as a paid ,q,D,N,,if not,S1A-035 048
res, is there a possibility? if I express an interest ,q,D,Y,,question,S1A-035 089
res,So if you if you will go downstairs and then you could look through these two postgraduate guides ,p --> q,D,Y,,,S1A-035 135
inf, if you wanted to go abroad and do a Master's there may be some sort of reference to it ,q,A,N,,,S1A-035 140
res,"but I mean I wouldn't be opposed to if I could get a job trying something else, sort of short placements and things like that in that area ",p --> q',D,Y,,,S1A-035 155
res, if you don't enjoy it you know you won't reach your full potential ,p',D,Y,you have to enjoy it,,S1A-035 187
inf, if he has good bank rates and he's got a steady job ,p --> q,A,Y,,no consequent,S1A-036 035
res,but when she glances at you if looks ,p',A,N,she has a sharp look,no consequent,S1A-036 083
res, If looks can kill ,p',A,N,she has a sharp look,no consequent,S1A-036 085
res, if she does come tonight she'll probably be stinking of pigs ,p --> q,A,Y,,,S1A-036 251
res,(085) Doesn't begin with R and end in `Angor'? (088) I was going to question it if so ,p --> q,C,Y,,,S1A-037 088
inf," if people have a very limited vocabulary, which a lot of people do it's interesting looking at them and seeing in what ways it's limited ",q,A,Y,,,S1A-037 162
res, they're behaving in a way that they would if THEY were jealous ,p --> q,A,Y,,,S1A-037 182
res, `blinkered' I think is a nice word if you're describing someone that you don't like ,p --> q,A,N,,,S1A-037 217
dir, It's a bit scary this if I can find it ,p --> q,C,N,,,S1A-037 236
res, If somebody has just done something to you that you don't like then you would ,q',A,Y,it's understandable that they do that,,S1A-037 250
res, If you look any fatter it might you know ,p',A,Y,you don't look any fatter,no consequent,S1A-038 078
inf, if I can see a difference god ,q',A,Y,you must be able to see a difference,,S1A-038 080
ifh, I can do it in very small writing if you want ,q,C,N,,,S1A-038 170
inf, that would help if you do want it done by the end of term ,q',D,Y,,,S1A-038 177
ifh, I would like it done on Wednesday if possible ,q',D,N,please do it by Wednesday,,S1A-038 178
res, if you give me it tomorrow I might be able to do some tomorrow morning before I go to the rugby ,p --> q,C,Y,,,S1A-038 181
inf,Well the thing is if we're going out now (185) there's no problem (186) We'll do it Wednesday or Thursday possibly ,q,C,Y,,,S1A-038 184
inf," if you're in London you apply to their operations in London don't you, you stupid little girl ",p --> q,A,Y,,,S1A-038 246
res, If I didn't answer you it's like ``give me a chance'' ,q',D,Y,stop asking me,,S1A-038 292
ifh, make your way to the Bengal if you want ,q,D,Y,,,S1A-039 168
inf, I would imagine she would have left by now if she said twenty minutes ,q,A,Y,,,S1A-039 171
res, it's only fair if you DO pay for it the taxi really ,p',D,Y,it's right that you pay for the taxi,,S1A-039 289
ifh, I think three quid there and three quid back if you're desperate ,q,A,N,,,S1A-039 294
res, if she goes in and finds I'm not there well it wouldn't put her off ,p --> q,A,Y,,even if,S1A-039 345
ifh, Very short skirt on if you don't mind me saying ,q,A,N,,,S1A-040 089
res, You're going to have huge trouble if you've infected me ,p',A,Y,you better not have infected me,,S1A-040 313
res, It would help if we could just get some SLEEP ,p',A,Y,I can't sleep,,S1A-040 328
res,Or later if you're awake you can come round for a drink ,q,D,Y,,,S1A-040 384
res, if you can come do ,p --> q,D,Y,,,S1A-040 398
res, if I get bored with the company I'm keeping this evening I shall come and find you ,p --> q,C,Y,,,S1A-040 438
res, if I get bored with my company I'll be here at nine ,p --> q,C,Y,,,S1A-040 447
res, if I get bored with the other company I'll go to Pam's at five ,p --> q,C,Y,,,S1A-040 448
res, If girls have black eyebrows but really blond hair is there something odd there ,p --> q,D,Y,,question,S1A-041 042
dir, Laura there ARE other people in the house that would like to receive phone calls if you could just bear with us and leave the phone free for five minutes ,p,D,N,,,S1A-041 235
ifh, I'd really love to tape it from you if you didn't mind ,q',D,Y,please can I take it from you?,,S1A-042 129
dir, If you give me a tape I've got a tape to tape and I can run it off ,p,D,Y,,,S1A-042 131
res, Can always come back if they lock me out ,p --> q,C,Y,,,S1A-042 147
res, if they're all wearing jeans I'll feel like a right wally to <unclear-word> ,r,C,Y,I don't want to look out of place,,S1A-042 148
res,Thing is with brown if it's really smart that's fine ,p --> q,A,Y,,,S1A-042 198
res, if they're not so smart that's fine as well ,p --> q,A,Y,,,S1A-042 199
res,(210) It's nice to have a contrast of colour (216) Especially if it's black tie ,q,A,N,,especially if,S1A-042 216
res, Wouldn't that be awful if you forgot you had the shorts on <laugh> ,p',D,Y,don't forget you have the shorts on,,S1A-042 237
dir, if we meet at seven o'clock at Covent Garden tube station outside ,p,D,N,,no consequent,S1A-043 002
ifh, You bring it in in the morning if you want ,q,D,Y,,,S1A-043 036
ifh, you can teach him if need be ,q,D,Y,,,S1A-043 106
inf, that's the main thing in a way if we want to see how he interacts with us too ,q,A,Y,,,S1A-043 114
res, I might do that tomorrow if I'm coming ,q,C,Y,,,S1A-043 211
res, if you let the palate drop that somehow pulls the whole thing down ,p',D,Y,don't let the palate drop,,S1A-044 199
dir, if you could keep it in ,p,D,Y,,no consequent,S1A-044 234
res,(311) you can still rise above it (312) if you keep it up ,p --> q,A,Y,,,S1A-044 312
res,(311:B) you can still rise above it (316:A) Of course you can if you can place it ,p --> q,A,Y,,,S1A-044 316
res, if you can get the posture right would look very very good on a stage ,p --> q,A,Y,,,S1A-045 076
res, If you catch somebody's eye suddenly it could distract ,p',A,Y,you have to avoid looking at people,,S1A-045 093
res, if they actually do look at the audience they have to learn to sweep all the faces without actually catching an eye ,q,A,Y,,,S1A-045 097
res, where do I make for? if it gets too heavy ,p --> q,D,Y,,question,S1A-045 099
res, I'll tell you if I can get something ,p --> q,C,Y,,,S1A-045 157
ifh,(232) Your guitar playing is so beautiful (233) If it meant anything ,q,A,N,,,S1A-045 233
inf, if you're involved in something creative it's original ,p',A,Y,it's good to be doing something creative,,S1A-045 299
res, if they get the wrong point there ,p --> q',A,Y,"if they got the wrong point, it could be fatal",no consequent,S1A-046 064
res, you'd feel it if it ,p --> q,A,Y,,,S1A-046 105
res,But if the needle broke ,p --> q',A,N,if the needle broke it'd be awful,no consequent,S1A-046 110
res, if they're not then it's not worth it ,p --> q,D,Y,"if they're not right by the door, then don't worry about looking for them",,S1A-046 372
ifh," We've got some in the fridge, some ale and other drinks in the other cupboards if you fancy it ",q',C,N,,,S1A-047 009
ifh, I'll have a vodka and lemonade if you've got any ,q,D,Y,,,S1A-047 016
res, I'm not going to buy something inferior if I want something nice to drink ,q,C,Y,,,S1A-047 068
res,(076:B) they reckon it won't be natural (077:A) that's only if the people know it's on ,p,A,Y,,no consequent,S1A-047 077
inf, if he's going to be so horrible and say all these ridiculously stupid things about the way things that we say then I'm going to be a completely pedantic and pick up every little thing that he says ,q,C,Y,,,S1A-047 094
res, if I have to tell them in advance won't it sound unnatural? ,p --> q,D,Y,,question,S1A-047 126
res, if he goes out the room for two minutes he comes back and looks at it again ,p --> q,A,Y,,,S1A-047 173
res, it's better for it if it's sounding more natural ,p --> q,A,Y,,,S1A-047 196
res, some people do sound unnatural if they know a tape recorder's there ,p --> q,A,Y,,,S1A-047 203
res, if you wear it that way up it means you're going out with them ,p --> q,A,Y,,,S1A-047 217
res, If you wear it the other way it means you're not going out with them ,p --> q,A,Y,,,S1A-047 218
ifh, if I told you honestly things can be really interesting ,q,A,Y,,,S1A-048 008
res, I would have been if I did the last year ,p --> q,A,Y,,,S1A-048 017
res, If you want to put that off honestly I don't mind ,p',D,Y,you could put that off,,S1A-048 069
res, they would join in if you two were there you know ,p',D,Y,You should go ,,S1A-048 137
res, if there's anything that you want me to try and get you I can get it cheaper ,q,C,Y,,,S1A-048 341
res, if I was to go to Dubai I can get things like electrical goods ,p --> q,A,Y,,,S1A-048 345
res, he should get it right if he says ``la Manche'' ,p --> q,A,Y,,,S1A-048 376
inf, if I'm feeling like this ,q',A,Y,who knows what I'll feel like in a more stressful situation ,no consequent,S1A-049 024
res, if I ever get close to walking up the aisle and then I get you know chucked in I'll have a nervous breakdown ,p --> q,A,Y,,,S1A-049 026
res, if you ever got married I'd be absolutely devastated ,p --> q,A,Y,,,S1A-050 156
res, If someone was married to me then they're untouchable ,p --> q,A,Y,,,S1A-050 161
res, if someone else got married I'd think gosh maybe he must (169) it would mean a lot to the children ,p --> q,A,Y,,,S1A-050 168
res,(185) It would give me Australian citizenship (186) Only if you're getting married ,p --> q,A,Y,,,S1A-050 186
res, If you're going to get married it was sort of all right ,p --> q,A,Y,,,S1A-050 188
res, even if it's not sexual would you still instinctively pull away? ,p --> q,D,Y,,even if / question,S1A-050 235
res, even if it's a friendship would you still instinctively pull away? ,p --> q,D,Y,,even if / question,S1A-050 235
inf, if we're going to work together on the possibility that you had a bad experience at some time it's important that you don't perceive me as following that through ,q,D,Y,,,S1A-050 265
res," if so, if you ever want to say ``stop, I'm not comfortable'' I'll stop and won't go any further ",p --> q,C,Y,,,S1A-050 266
res," if you ever want to say ``stop, I'm not comfortable'' I'll stop and won't go any further ",p --> q,C,Y,,,S1A-050 266
res, not then if it's a nasty day ,p --> q,A,Y,,,S1A-051 010
res, I'll be grateful if you lay it on when I do ,p',D,Y,please lay it on when I do,,S1A-051 023
res, if I take one of these tablets they help ,p --> q',A,N,if I take one of these tablets I feel better,,S1A-051 066
dir,I think the simplest thing is if we refer you to the ENT hosp specialist and see what they can do about it ,p,C,Y,,no consequent,S1A-051 134
res, even if they did find out what exactly it was there was nothing they could do about it ,r,A,Y,there's no point in having a blood test,even if,S1A-051 145
res, If I had that light coming the way you've got it here I'd be doing it all the time ,p',A,Y,I don't have good light,,S1A-052 054
inf, if you call yourself a journalist (127) go and do some real fucking journalism then ,q,D,Y,,,S1A-052 125
inf, if you're a journalist go and do some real fucking journalism then ,q,D,Y,,,S1A-052 127
res, if I was a weaker person you know they'd chew your arse ,q,A,N,,,S1A-052 133
res, Is The Myth of God Incarnate a dangerous book if I thwack somebody over the head with it? ,p --> q,D,Y,,question,S1A-053 083
res, If you put that ``I've no idea'' you've actually answered the question ,p --> q,A,Y,,,S1A-053 116
res, I could get you that other book when I stay at Hilda's if you're near UC ,q,C,Y,,,S1A-053 167
ifh, if you actually read into it it's a load of nonsense ,q,A,Y,,,S1A-053 253
res, if you try hard enough you can justify anything can't you ,q,A,Y,,,S1A-053 258
res, if you said someone has ``left HIS coat'' you could mean male or female ,p --> q,A,Y,,,S1A-053 319
res, If you wanted to be specifically female then you said ``someone has left HER coat'' ,p --> q,A,Y,,,S1A-053 320
res, If you're talking of male or mixed sex you use the male number ,p --> q,A,Y,,,S1A-053 328
res, if it's female then you always use the female number ,p --> q,A,Y,,,S1A-053 329
res, if it's an all female set it's the feminine ,p --> q',A,Y,"if it's an all female set, you use the feminine",,S1A-053 341
res, if it's all male it's male ,p --> q',A,Y,"if it's all male, you use the male",,S1A-053 342
res, if it's mixed then it's the male ,p --> q',A,Y,"if it's mixed, you use the male",,S1A-053 343
res, what if there are room of a hundred women and one man? ,p --> q,A,Y,,question,S1A-053 344
inf, as she grows up she'll see that her dislike of Gavin is irrational even if she can't admit it ,q,A,N,,even if,S1A-054 056
inf, if she is saying 066: ``no I don't want to go to boarding school'' 067: and yet you see she'd have such a lot of fun ,q,A,N,,even if,S1A-054 065
res, nobody is going to go there if they're happy at their own school ,q,A,Y,,,S1A-054 113
res,(113:B) nobody is going to go there (115:A) Not if they're blissfully happy ,p,A,Y,,,S1A-054 115
res, if Nell went somewhere like that she wouldn't HAVE to think all the time about you and Bernard and Gavin which is so unhealthy ,p',D,Y,Nell should go somewhere like that,,S1A-054 130
dir, If you could get that across to her ,p,D,N,,no consequent,S1A-054 131
res, if they get a scholarship (138) they wear gowns ,p --> q,A,Y,,,S1A-054 137
res, it'd be nice if she did ,p --> q,A,Y,,,S1A-054 137
res, this might have happened even if you and you know Bernard had stayed together ,p --> q,A,Y,,even if,S1A-054 205
res," if everyone paid an extra 10, 15p or something (069) it wouldn't take much ",q,A,N,,,S1A-055 068
