label,text-cat
neg,"i purchased this humidifier , and it worked wonderfully with a soothing blue night light for my son for about a week . one night , it just stopped producing that humidifying mist and could not be coaxed into working again . i called the company , who told me to promptly cut the cord and throw it out , and they would be sending a new one to replace it ( with no cost for shipping to me ) . i received the new one a week later , which to my disappointment , did not have the nightlight feature . i also noticed it was from a different brand company . i ca n't remember the name but it also began with the word "" sun . "" so far , the new humidifier is working fine ( about 2 weeks now ) , but it has a lower water capacity so i have to refill it every night ( vs. every 2 nights with the original one ) and the lack of the nightlight is a big disappointment . the process of replacing , however , was very smooth and also free so i 'll give them 2 stars for that"
pos,"simply the best software out there for digital photographers , graphic designers and anything having to do with digital image creation and manipulation . packed with features for novices to professional advanced users . the only limits are your imagination"
neg,i bought this camera on the recommendation of a store technician over another hp digital . the camera has spent as much time in the repair shop as it has being used . the delay between pictures is incredibly long . the lens / shutter does n't open properly . ( two other family members who own powershot a520 's are having the same problems
neg,"i have owned eleven vcom products and from now on , they do n't have my business . the product touts itself in part as a vital tool when / if your machine crashes . if it does , be prepared to shell out the cost for another complete program . you are told that the program is already installed on another machine and you ca n't run it-although this occurs after a lengthy and cumbersome installation process . sadly , customer assistance is no help-emails are unanswered and you ca n't get through via phone...what you do get from them once you register are constant emails about new products . thanks , folks . version 6.0 is also much slower than version 5. support for 5.0 , by the way stopped abruptly when the new edition came out , despite the functionality of that program . for the price , the software should work like a major player , rather than a dollar bin special ."
neg,"i must agree witht he reviewer who commented about the book being written by committee . the narrative is choppy and lacking not only key details , but also historical background . because it 's an autobiography , i do n't necessarily think that it 's fair to damn the book for being self-centered ; it is about him . i do feel , however , that the book needs better editing and a bit more self-examination . it 's an okay addition to one 's list of books about everest expeditions - which i must admit , i 've developed a morbid fascination with after recently re-reading "" into thin air "" . i would n't , however , use it as my primary source for information or impressions"
neg,i ordered this item several months ago and its yet to arrive
neg,"we bought this as a cheap / easy stocking stuffer . it 's simply not woth anything . the little file is a good idea , but too tiny to actually work . my daughter ( 8yrs old ) liked the idea too , but was sad that she could n't work with the tiny strip that 's too short for even her little fingers . cute , but not worth it"
neg,"i really liked this when it came ut on vinyl , but in retrospect , it was the cause , not the music . b . raitt is grand , g nash with an excellant cathedral , j c young , and the highlight to me we almost lost detroit by the great gil scott-heron . but the second disc is second rate . edit the filler and it rates higher"
pos,"looks exactly as the posted picture except the badge reads "" panasonic "" , not "" lumix "" . fits the camera perfectly . no extra room for memory cards , spare battery , charger , etc. it 's easier to insert the camera with both zippers down . the belt loop wo n't fit most belts . no straps . however , the camera 's strap is good enough . good protection"
pos,"this is one of the great biopic films ever made . more often than not , film biopics are too rushed . they try and squeeze in every aspect of their subjects lives , and they end up giving short shrift to the person and their lives . this is not one of those films . it just covers woody guthrie 's adult life , from when he hit the road to when he became a big time folk singer , and his passionate defense of the working man . the look of the film is deliberate , in that it 's washed out . the hoedown scenes at the camp are some of the best in the film . they 're really lively , where the extras and everyone seem to be really enjoying themselves . the film has a real genuine feel to it , like you 're actually watching real people . david carradine is amazing as woody guthrie . he makes you think you 're actually watching woody himself . he did his own singing and stuntwork on the film . ronny cox is excellent as well , and he does his own singing too ( remember , cox played the man who jammed with the hillbilly in deliverance ) . randy quaid and melinda dillon offer great supporting roles as well . this is a fabulous film , and it feels short at 2 1 / 2 hours ."
neg,"i have been a ronstadt fan since the early 70 's , and although the nelson riddle stage and the mexican stage were not my style , i still loved her vocal perfection . this is truly the only album i have n't played more than twice ( i did n't like it the first time , which surprised me , so i tried it again ) . it does n't showcase her voice or her talents . the songs are very ho hum . linda , put out a christmas album ( been waiting for years ) , and try to get sweetness back for this old fan"
neg,"i wear glasses and press against the viewfinder as hard as i can to help keep the shot stable ( i shoot birds at 700mm ) . the first thing my friend and i did was to compare two identical lenses / cameras etc. - one with , one without , the extender . result : - the image appeared the same size , and the extender slightly blurred the image . in other words - completely useless"
pos,"when i first heard this album i was a bit shocked . myself and my fellow tmbg fans derided it as a "" teen angst album , "" moaned and whined that john & john had betrayed us by adding a band , and generally refused to give it a chance . a few years later , listening to my entire collection of tmbg in chonological order ( a sanity-restoration ritual ) , i realized that this album is awesome ! there are only 2 stupid songs , window and dirtbike . hey , for tmbg , that 's not bad - their fans forgive them stupidity on a regular basis . aside from that , there are more rockin ' , thought-provoking tunes here than you 'll find almost anywhere . this album establishes beyond a doubt that tmbg are among the most gifted songwriters in rock history . i 'm not going to go over each individual song - there are millions of tmbg fans who have and will . i will add my 2 cents about my 4 favorites however : "" i should be allowed to think "" - tmbg does justice to beat poetry , and beyond ! "" why must i be sad ? "" - funny and pissy , great for getting those pesky emotions unstuck . the lyrics are genius , subtly quoting the best of alice cooper with tongue firmly planted in cheek . "" a self called nowhere "" - righteous , angry , and breathtaking . angsty punk bands of the world , take note : you will never be this hardcore . "" the end of the tour "" - i have written in my last wishes that i want this one played at my funeral . one of the most moving and emotionally honest rock ballads ever written . if your idea of tmbg is songs like "" istanbul "" and "" particle man , "" get over it ! and give this album a chance !"
neg,"this scope is not a good starter scope for anyone interested in astronomy . here 's why : 1. the objective is too small , only 60 mm , 2.36 inches , so it is too small to bring in the light necessary for even a beginning look at the universe . i suppose it is adequate for the moon , but that is it . the planets will appear as very small disks . one will be able to see saturn 's rings , but the image will be very small . forget it for deep sky objects , clusters , galaxies , etc. 2. the mount is an altazimuth , which will not follow the celestial object in the sky . the earth is rotating , and anyone focusing on a star or moon will quickly find the object drifting out of the field of vision . a better mount is an equatorial mount which makes it much easier to track objects . 3. the 4mm eyepiece is too powerful for this scope . the observer will find it hard to look through ( very small eye opening ) , and will in most cases cause blurred images . the 20 mm eyepiece is the only functional eyepiece . the barlow is a 3x , which again is too poweerful for this scope . 4. the mount will vibrate when touched , which will cause the image in the eyepiece to "" shiver "" , which is very frustrating . even for the low price , do n't be enticed by this scope ; it has too many flaws . save your money for a larger scope with a better mount . jim "" konedog "" koenig , astronomy buf"
pos,"why on earth am i giving this movie five stars ? its plot is minimal . the script has words and phrases i 've never heard , and i 'm not sure were ever really used in the real world . and to top that off , it 's more than a little unbelievable . however , despite all of the possible downsides , i really enjoyed it . honestly , i 'm normally not into these kinds of films , but it was just good fun . the humor was n't disgusting and gross . the chemistry between the actors made the on screen relationships believable ( even if i do n't ever buy the whole love at first sight scenario ) , and there was n't some great moral constantly being shoved down my throat . all in all , it was just a fun movie to watch , and it 's been a long time since a movie simply put a smile on my face"
neg,"i bought a sony icd-mx20 digital voice recorder a week ago . i was surprised that sony does not provide downloads of the associated software named "" digital voice editor "" . sony customer service staff told me that if you lost the cd that came with the box , you had to buy a new one . only patches of the software are available to download . the customer service personnel told me that it was corporate policy despite the fact that the software is bound to the digital device . this immoral policy violating the norm of digital appliance industries and should not be encouraged . sony is demoting its brand name by offering poor post-sales services . think twice before making your buying decision ."
pos,"whether you 're greek - or whatever - just about anyone can relate to toula 's life . after having deemed herself hopeless for thirty-odd years , then finally meeting the man of her dreams , toula 's real obstacle is surving her family ! while his parents are quiet and typical americans , toula 's clan embraces their roots - - telling strangers the intimate details of their medical histories , roasting a lamb in the front yard , gramma in the old-country babushka . you 'll laugh til you cry , ' cause chances are , you know someone exactly like each of toula 's relatives. ."
pos,all i have to say is great album
pos,"i absolutely love this scale ! it is easy to program and enjoyable to use . best of all , it 's beautiful to behold"
neg,"saw the knock-off series "" jeremiah "" when it was the classic star trek episode "" miri "" , in which all the adults past puberty were killed by a virus originally meant to prolong life . also saw it as the canadian tv series "" the tribe "" , in which all the adults are killed by some sort of plague . also read it in "" the kindling "" , by jennifer armstrong , a novel in which teenagers must care for the younger kids after a virus wipes out their memories and kills all adults . i laughed when the amazon reviewer called the premise of "" jeremiah "" "" intriguing "" . well , the other works do n't have luke perry or pretty f / x . maybe that 's the "" intriguing "" part of this latest adaptation of one of the most overused themes in science fiction ."
pos,"if you like music you ca n't help but like mariachi from mexico . it is superb . is there another volume ? if so , tell me about it"
pos,"really does not get the film noir credit it deserves ( probably from its title with the uninformed film watcher expecting this to be a feature starring dinah shore or other 1940 's musical starlet . ) some very satisfying twists of the old plot make this memorable and high on the repeat viewings scale . gene tierney is wonderfully mercurial - sometimes hot-hot-hot and other times just plain icy cold . this was her only oscar nominated film and you can see why she was picked here . see gene in this and in "" laura "" and you will see two of the best 1944 leading actress film perfomances"
neg,i found this title messing around adding things to my wish list . i only read the blurb on amazon enough to see haitian creaole listed as one of the languages . today updating my wish list i took extra time to find out why this was rated so low since nearly every thing on my list is 4 stars or more ! how unfortunate to find out that others before me made the mistake i almost made buying this in hopes of it having haitian creole ! very disappointing ! ! ! ! the makers should be ashamed
neg,"i own many sony products , including a sony cybershot dsc-f717 , which i love . however , i am very disappointed by this camera , the sony cybershot dsc-t5. i bought the t5 for my mother and father as a present . it is small , lightweight , portable ; easy to use ; and stylish . it does take nice photos in brightly lit environments , especially outside . however , after several months of use , a few problems have become consistently evident : ( 1 ) there is horrible red-eye ( and white-eye ) artifact in many pictures . the so-called "" red-eye reduction "" setting does nothing . ( 2 ) dim-light photography is very grainy , with lots of noise . night-time photography is impossible . these problems are not unique to our camera.. . you will find many corroborating reviews above . overall , i am very disappointed in this camera , and wish i could exchange it for something else . do not buy this camera . other reviewers suggest the t7 or t9 take much better pictures ( and they are still small pocket-size cameras ) ."
neg,"i saw all the revies for this movie and was expecting a dark enjoyable tale about a libtertine . i was strongly mistaken . johnny depp is a great actor with great abilites , but this is the worst movie of his i have ever seen . even his "" cheesy "" movies were better than this . the rated r rating is light . i could n't believe how pornographic it was . even in quills , it was n't as raunchy as this . do n't waste your money or your time with this one"
pos,"i did have to adjust my graphics acceleration to get the game to run smoothly , but it 's a fantastic game . you get a building with your waiting room , exam room , living room , and bedroom . you build animal pens outside , buy medical equipment , buy books to learn about caring for each species , and need to manage your time to make sure you examine animals , sleep , eat , and for all animals that require a hospital stay you need to feed , care for , play with , and clean up after . it 's a fun and well designed game"
pos,"mark liberman and geoffrey k . pullum could be accused of making the best of an already satisfactory situation in publishing this book that reiterates their ongoing blog on linguistics . but for this reader , having never visited their blog ( until now ) , this book is a treasure trove of quips and oops and pooh bahs and evidences of the strangely twisted manner in which we communicate . written in a casual style that makes the faux pas revelations more cogent , the authors share embarrassingly poor writing from the media , from authors , from those in control of the country ( as though the mentality of the us might somehow be reflected in the malapropisms of george w . ...yikes ! ) , and yet reading this blogline of information never seems vitriolic . criticism is one of the most substantial ways to create change and hopefully this book and blogline will focus many minds on the misuse of the english language , perhaps effecting some much needed corrections . far from the madding gerund ( did n't you always wonder why thomas hardy used that word in the title of his great novel ' far from the madding crowd ' ? ) is a book to pleasure the mind - and humor - and a fine resource for perusing before writing or speaking to a group of wise souls . so maybe it is a print form of a blogline , but for those of us who tire of wading through the computer for reading , it is a complete ( ? compleat ? ) pleasure ! grady harp , june 0"
neg,"for federal returns this is a generally usable product with a very poor user interface and help system , for state returns this product falls below the bar of "" usable "" . i have used the principle competitor , "" tax cut : in the past and have found it to have generally a poor ui , but it was significantly better than turbo tax . some examples of the poor user interface experience are : * if you enter the employer id number from a w-2 in an attempt to retrieve it from the internet and the retrieve fails , then you are asked to re-enter the same id number when you enter the w-2 information manually . * investment sales : i have about 20 stocks i 've sold over the past year , but the window only shows 3 at a time ( with a scrollbar ) . * on the form page , schedule d-1 ( the continuation form for stock sales ) is displayed on the screen with scrollbar if the number of items exceeds the window height , but the scroll bar would not let me scroll to the bottom 2 entries . printing these out does however show them * when entering a stock sale , you can indicate it is worthless to which turbo tax will tell you that it will set the sale date to 12 / 31 , regardless of what you entered in compliance with irs rules . so on my next stock that was worthless i tried to not enter a sale data knowing it would just override it , but the program insisted i enter a sale data , only to then immediately override it . * entering federal information was usually clear enough , but an obvious lack of effort is shown in the state returns ( pa in my case ) . cryptic questions are asked with no explanation and no useful help . for example "" enter adjustment to income , and indicate type of adjustment - - the choice for type include oid , abp , etc. with no explanation of what these are ! . it is not clear whether the amount of the "" adjustment "" should be an absolute or a delta . requesting help brings up a screen on an irrelevant topic ( penalties for early withdrawal of savings ) . * on my state return , it dragged me through 3 screens for every stock sale i made . ( about 20 of them - so 60 screens ) . since it already had the info from the federal return i was doing nothing other than clicking continue over and over . much better would be to present me with a table of all the sales and ask me to check the information there . * it transferred information about my stock sales from my federal to my state return . however i was only a part year resident of the state and it made no attempt to either calculate , or warn me , that many of the sales would not be taxable events in that state because they were sold when i was not a resident of that state . in conclusion , while turbo tax ultimately did help me get the job done , i think i 'll try going back to taxcut next year"
pos,"i currently have version 1.0 on my pc . it does everything it claims to and does it flawlessly . it cleans internet cache , history , cookies and more ! i 've tried another internet privacy program , but it failed to clean up the tracks that this program successfully cleaned . i especially like the fact that it cleans the autocomplete entries in my internet search and internet browser . others can use my pc , and wo n't be able to see what documents i 've recently opened , which programs i 've recently run , or what i 've searched for and what sites i 've visited online . and that 's the way it should be ! this program can be set to clean up this information securely ( can be set to wipe not just delete the info ) . another plus , it can clean usage tracks for all users on a pc . the program i tried on my other pc only worked with administrator accounts ( and not very well may i ad )"
neg,"this album is one of the only live albums that i do n't have . i have heard samples , and a few extra songs on other cds though . the first thing i hear from somebody that tell about this album is basically that stevie could n't have been more high . his performance was just imbarrassing for the other members in the group ( specifically reese wynans ) . most poeple do n't know this but , on the old vinyl copy of this album , ( i 've never heard it but someone told me ) there was originally a 14th track . it was the song that usually comes close to the end of stevie 's sets . the song was life without you . since it was the very last song , i 'm guessing stevie was more pooped than ever beacause it was the last song and that he was extremely high and everything . being high is one thing , but being high and playing your last song in a set is terrible . in the old vinyl disc , stevie was on his last song and he was so terribly slow that reese wynans walked off stage embarrased and discusted . this track was taken off the album because of its discracefulness"
pos,"deyoung begins by relating how bush pushed powell out at the end of his 1st term , without the courtesy of even personally discussing it with him ; making matters worse was the fact that bush did n't even know why powell was at the white house when it came time to say "" good bye . "" colin powell came from jamaican parents ( often called "" jewmaicans "" by american negroes because of the emphasis they placed on hard work and education ) , and during his early life in the nyc area suffered little , if any , racial prejudice . later on , unfortunately , the insults were quite aggravating , but powell was determined to not let them inhibit his performance . powell was an indifferent student in high school and at ccny ( majored in geology ) ; however , rotc piqued his sophomore-year interest and he soon became a standout . powell went on to be selected outstanding cadet , and top graduate ( or very close ) in every military training setting he undertook , as well as a top mba student at george washington university . he also was top-ranked by superiors in almost every military assignment , leading to his being offered a white house fellowship , which in turn provided powell with travel to russia and china and brought him in contact with a number of influential people who were impressed enough to forward powell onto chairman of the joint chiefs , national security advisor , and secretary of state . one of powell 's "" secrets of success "" was to enthusiastically implement all orders , even those he considered silly - powell himself believed that doing otherwise grounded the careers of many talented others . unfortunately , powell eventually crossed paths with dick cheney ( a bit of a problem during gulf war i ; a serious problem when cheney became v.p. ) . between cheney 's far-right bias ( "" out on the looney fringe "" - per powell ) and bush ii 's "" disturbingly disjointed "" decision-making - per treasury secretary o'neill ) , powell 's contributions as secretary of state were severely limited and constantly undermined and countermanded - often with don rumsfeld 's help . in addition , he was often left out of important decisions , especially when out of the country . ultimately , powell 's credibility suffered from the inaccurate information provided in his u.n. speech attesting to saddam 's wmd . the big question , still debated , is "" why did n't he resign ? "" his supporters believe the reason is that powell 's nature simply did n't allow anything less than 100% support . bottom line : if cheney had not been such an ideologue ( telling bush there were no candidates good enough to run as his v.p. - ignoring powell , and then sliding into the position himself ) , powell would be v.p. today , possibly president in 2008. similarly , if bush #41 had not been so stubborn and instead replaced quayle with powell in ' 92 , powell might well have become first v.p. , and then president"
neg,"we had this camera for about a year until on thanksgiving day while out of town it broke . the lense just froze while in the middle of taking a picture and wouldnt ever go back into the camera . we ran out to best buy and purchased it again because it was just a simple to use basic camera for me and my dad . ( 2 years later the old cameras lense still wont go back into the camera yet the camera still will turn on..weird . ) at first we liked the camera and it took good pictures . they look great when we got them developed ( costco.com is the best place to upload them and 1 hour later you pick them up , super cheap too ) and the quality was good . within the last year the camera has turned into a piece of crap . evvvvvery picture comes out blurry it seems . inside or outside . i am constantly telling people who take pics for me to take 2 or 3 pictures because i know one or two will be blurry and that is a great shot i will miss because of it . also the flash quality is horrible . it takes okay pictures of people in the dark but if it 's of an object ( anything really , just not a person ) it comes out pitch black . inside the lighting is bad too . the camera can never focus and it 's just annoying . i also went through 2 or 3 memory sticks made by sony that for no reason just broke . one of them broke while in a store getting them developed ( in the little machine ) and erased all of my pictures which was very dissapointing . the people said there was no way it was their machine , that it had to be a default in the memory stick . also the camera is pretty big and clunky . at the time it was actually a smaller camera on the market , now it is huge ! i am looking into now buying the canon powershot 6."
pos,"at first i did n't think there was enough new material on this soundtrack to make it worthwhile , but the four previously unreleased songs are so completley wonderful , especially & quot ; all i want to know&quot ; and & quot ; heather&quot ; . this is an essential for any stephin merritt fan"
pos,"ok , first of all oct fri the 13th i finally saw this movie in 3d , sigh i can die happy ! ok this one is really pretty awesome . chris plays a great leading girl ( the only f-13 leadi didnt want to see with an axe in her skull ) . the other characters are pretty harmless too . wev'e got bikers ( snort ) , pothead hippies , a fro 'd chubster and a dude who can walks on his hands better than he can act . plus this came out in the early 80 's so the ratings board didnt demolish all the awesome gore scenes . i give this one a high-5 ! cool deaths , funny scenes and aside from chris 's sherbert pants , some decent 80 's fashion too . yo debbie , i want your bikini , too cuuute ."
pos,i bought this a few months back and have used it quite a bit . the maps look good although i hav n't noticed much change from version 2005. there are still some mistakes in the maps and they are still behind on being updated . a little slow to load on both computers but it does fine after it gets going . it has alot of nice features that make it convenient to use . the phonebook is very nice !
neg,i would love to own this soundtrack but why anyone would pay 120 bucks is just plain dumb . quite frankly i would like to see your copyright on this item to see if you are just reburning these cd 's and reselling them . for 120 bucks you should be reported to the authorite
pos,i picked up the first volumne of these graphic novel series a while ago and i 've been trying to get the whole series ever since ! the concept is new and interesrting and the art is always great . animal farm was especially good because of all the twists in the plot line . nothing is as it seems to be ! take my word .
neg,"i have probably never seen a movie with quality as bad as this . even my old tapes from tv were 500% better . the picture was faded , the characters looked like they were 90 years old and the sound track was off so badly that it also garbled words , so looking away from the movie did not help . it is also one hour long- -but seemed like three-probably a copy of a tv movie as it also had cuts for commercials though i could not find any place that said this . it was advertised as a 2 hour dvd-and it is- -i guess , but i could not see any more of it . at the end of one hour , it just showed credits and it was over . i am returning it-and it is the first copy of a dvd that i have ever returned for picture and sound quality"
pos,"i found the film , "" malice "" to be a very intriguing and interesting murder mystery . sure , there are a lot of twist 's in the film , however , that is what i found to be very good about this film . especially the way these twist 's were done . there will be no spoilers in this review . the film begin 's with murders occuring in a small college town . andy safian ( bill pullman ) is a college dean who happens to be suspected of these killings . all circumstantial . moreover , he is having problems with his wife ( nicole kidman ) . something happens to her , and she blames andy for this . [to tell you would give away the film] it seems as if one of andy 's old school friends is now a practicing surgeon ( alec baldwin ) . therefore she decides to leave him and sues both the medical facility that caused her such grief , and the doctor ( balwin ) in particular who caused this grief to her . but there is more to the story than meets the eye . there are several stories going on at once . first , you have a serial killer , secondly you have a distraught wife ( kidman ) blaming her ex-husband and his doctor friend for what has happened to her . but there is more to her than the viewer suspect's . i will leave this to you to discover . the film is better than the reviews warrant . it is a very suspenseful film full of twists . recommended !"
neg,"it would be impossible for me to write you a review . i never received the subject cd . you sent me some piece of crap dics which i sent back . i have not received the gene watson cd i ordered and paid for . if i do n't get it soon , you will never hear from me again . edward n clark - herrin , i"
pos,this was a great movie i really enjoyed it . the story was unique and the acting was great .i thought it was the best ghost story i have seen
neg,"i 'm not a tech guy . but from a simple user 's standpoint , there is no reason whatsoever to change unless you just have to have a small change in appearance . about 1 / 2 the software you might have purchased that worked with xp wo n't work with vista . i was thinking that vista would be an improvement . but there is nothing there . just some minor superficial changes as far as i can tell . maybe for it people , there might be some big difference , but for your average user , there is no improvement at all . save your money . do n't buy it ."
