label,leftcontext-cat,targetword-cat
2,стёкла доводят их до нужного состояния Очковые мастера узнают нас смеются когда мы опять заходит в,лавку
2,смотрел но не покупал ничего ни на копейку Говорит богач,лавку
2,шарманщики и зазывают покупателей продавцы круглых вафель по чешски оплаток с ореховой начинкой В,лавках
2,Юй Шу особый случай Их продавали и продолжают продавать совершенно легально через аптеки,лавки
2,со Сла винским были связаны и подле каждого стоял дюжий городовой Стефания и Анна сидели в углу на,лавке
2,не суетливое пополнение набора маслиц веточек свечечек водичек земелек из церковных,лавок
2,вход около 50 LE это для любителей египетской истории Дальше маленький базар из туристических,лавок
2,а что дальше В душе я надеялся что будет продолжение и часто расхаживал по книжным магазинам и,лавкам
2,ряд отсюда мнение что словом рядович в Новгороде обозначался купец Но известно что средневековые,лавки
2,им Конечно же все мы очень хорошо знаем то что кирова,лавка
2,дешевых до самых дорогих типа Мальборо или Данхила,лавках
2,одной только Германии А в центре Иерусалима вокруг храма Гроба Господня я видел множество антикварных,лавок
2,Особенность неразменного рубля состоит в следующем что бы на него ни покупали он едва владелец выйдет из,лавки
2,минут по 15 так что в очереди стоял больше часа Наверное есть все но впечатление тягостное как в,лавке
2,идеальной женщины Флоренс Домби Эстер Саммерсон и др первая из которых маленькая Нелл из романа,Лавка
2,убеждения или религии или сильная рука мужа могли их заставить потеть в этих одеждах Мужчины толкались у,лавок
2,Заплатил ли прочный джентльмен за такую рекламу свойственникам повешенного история умалчивает Но уж в,лавке
2,соль Но бусики стоили дешевле И мне едва едва на них хватило Они лежали рядом в витрине антикварной,лавки
2,продаются разные игровые ценности большей частью эксклюзивные доступные только в Лавке Ассортимент,лавки
2,грудь а надо тебе сказать я совершенно не перевариваю сливовых косточек которые отпускают в оружейных,лавках
2,такое сущностное что порой не описать и сотнями слов и эпитетов,лавок
2,открытки За определённую плату отправить внутригородскую почту можно было даже в обычных продуктовых,лавках
2,Ньяхуруру предприимчивые туземцы установили табличку мол здесь находится экватор поставили сувенирную,лавку
2,большим внутренним двором Высокие мощные колонны между которыми как в ячейках были устроены отдельные,лавки
2,целый участок этой стены во всю ее высоту Со стороны города он не виден потому что закрыть домами и,лавками
2,туда то обратно и так раз двадцать в час Это когда уже стемнело А когда Канцлер закрыл свою,лавку
2,внутри города С приходом выживших воинов в Огриммаре поднялся запах схожий с тем что окружает мясную,лавку
2,подвале напал один человек Это раз Господин Неймлес снова вынул четки щелкнул бусиной В ювелирной,лавке
2,p p,лавку
2,тагильчане посетили пешеходную зону на улице Кирова побывали в настоящей юрте посмотрели ремесленные,лавки
2,насчитывалось около 558 строений Несомненно стоит упомянуть то что в городке работало около 165,лавок
2,оказался платным Стоимость услуги приемлемая,лавок
2,дорогих экзотических цветов затем побродил по Вест стрит милостиво принял угощение от хозяев овощных,лавок
2,знали на что идут деньги,Лавки
2,монастыря по Плющихе потом из Дорогомилова В то время на Арбате располагалось множество дворов церквей и,лавок
2,строгих старинных особняков выстроенных при маркизе де Помбале сейчас в них размещаются кафе магазины и,лавки
2,Например Боржоми И чем больше тем лучше Если же минералки под рукой нет а беспокойно сходить в,лавка
2,лондонском The Ivy Готовят в Рагу по большей части из фермерских продуктов в том числе сотрудничая с,Лавкой
2,которая продала ему нитрат вместо солей Эпсома и таким образом убила в течение пяти часов Аптечная,лавка
2,были построены двухэтажные кирпичные жилые дома с удобствами для преподавателей за баней керосиновая,лавка
2,центре возвышались древний Благовещенский собор и церковь Алексея Митрополита обстроенные крыты ми,лавками
2,ее муже Толике Выходец откуда то из Прибалтики Толик менингит по слухам содержал в Мюнхене мясную,лавку
2,предписывает подготовку к таким событием заблаговременно в Мертвых душах перед балом у губернатора в местных,лавках
2,внезапно как и начались но Торикс продолжала уверенно углубляться куда то в чащу Я отправлю Сысоева в,лавку
2,предлагаем вам очищение от шлаков посредством глубинного опорожнения толстого кишечника Даже в церковных,лавках
2,магазинов впрочем для того чтоб целиком оценить их прелесть хорошо бы знать германский и музыкальных,лавок
2,ежедневно проходят сотни паломников и туристов со всего мира И каждый метр здесь занят сувенирными,лавками
2,приводится много полезной информации по теме убийства нерожденных детей абортов,лавке
2,Едвабне штурмовые группы национал демократической молодежи стояли с металлическими штырями у еврейских,лавок
2,мотивированы в романе естественным стечением обстоятельств только что пожелавший развлечений Рафаэль выйдя из,лавки
2,танцевальные залы и игорные заведения У Мики глаза на лоб полезли когда она увидела прямоугольную торговую,лавку
2,автор аллен карр пару аллен карр аллен похудеть открыл перед Айн дверь и она вышла из теплой и уютной,лавки
2,городах страны и туристических районах можно натолкнуться и на круглосуточные магазины Частные торговые,лавки
2,знать свою веру если вы мало что знаете то начните с книги Закон Божий она должна быть в церковных,лавках
2,король тюки пока клеветы трансильвании голову и по возвращении я встретил жида более чем прохладно,Лавке
2,в центре на час и просто погуляли по городу В центре есть небольшая пешеходная улица с сувенирными,лавками
2,Раньше на Руси стол на котором располагалась трапеза устилался соломой или сеном Это делало его и,лавки
2,Драматический театр ОАО Бин Банк Клуб ИТ директоров Калининградского региона сеть магазинов Книжная,Лавка
2,экспонатов немного но с эрмитажем поспорит соответствующие сувениры только здесь можно непременно купить,лавка
2,образом были менялами обменивали различные виды монет Римские менялы держали на Форуме семь обменных,лавок
2,гулянье на берегу реки немного изменился деревья общипаны земля гладко выметена платьями устроены,лавки
2,не придет но могут привести враждебные нам силы Что надо сделать Не быть России слоном в посудной,лавке
2,десятый чем по счету ежедневник 4 Неповторимый многие чая виды посуды упаковки Вы найдете только в,лавке
2,постановлений о порядке открытия и содержания пивных лавок в силу которого теперь для помещения пивных,лавок
2,под названием обычная городская индийская жизнь Много интересного можно увидеть вроде владельца,лавки
2,посидеть на площади на скамейке минуту спустя снова встать подойти к витринам магазина в книжной,лавке
2,Это любовь это очень тонкая сфера Нельзя так грубо вламываться в сферу любви и бегать как слон по,лавке
2,градостроительства быте нравах традициях а также судьбах именитых горожан Посетители музея могут заглянуть в,лавку
2,Работает 24 000 человек Существуют лавка и столовая для 2800 человек Управление делами в потребительской,лавке
2,укатав все барханы в окрестностях Ксара Гилан сохранился заброшенный город Зерауа В нем нет сувенирных,лавок
2,пешеходной зоной проезд автотранспорта дальше Центральной улицы запрещался Многочисленные сувенирные,лавки
2,древний моллюск Что Гильдия собирается с ним делать Кто знает Может собрались открыть антикварную,лавку
2,3 лавочных места и 6 амбаров соляной 39 лавок 6 лавочных мест и 3 амбара щепяной и лапотной 9,лавок
2,согласились Так возник новый посёлок который рос и благоустраивался Была построена школа открылись,лавки
2,Польши рукой подать так что можно сказать что в скит пришли свои Вот батюшки заходят в церковную,лавку
2,Печёрке а всю остальную принадлежащую ему недвижимость сдавал в наём На первом этаже дома располагались,лавка
2,собирали пользующиеся большим спросом радиоприемники и торговали ими на обочинах дорог или в мелких,лавках
2,запоминать по десять идиом каждую неделю,лавке
2,экземпляре Нетрудно отыскивать их необходимо не в магазине а на ярмарках в комиссионных магазинах либо,лавках
2,находит очень точные слова создающие выразительный и имеете с тем неожиданный образ открытые двери,лавок
2,и тяжёлой Однако такие комоды остались далеко в прошлом и их можно найти разве что в антикварных,лавках
2,построено семь храмов по числу убитых членов царской семьи Напомним их имена Музей монастыря и церковная,лавка
2,не считает нужным слепо следовать генпланам он вроде бы не собирается вести себя как слон в посудной,лавке
2,молитва к Ганеше Каждое деловое письмо или книга начинается также с воззвания к нему Торговцы ставят над,лавками
2,добывала продукты Разве можно сравнить вкус добытого в бою дефицита с теперешними купленными в любой,лавке
2,конфигураций и добавлений в место лавка рф об порядке подготовки и вступления в Силу нормативных актов,лавка
2,увидеть и узнать немного о пирамидах и о городе Луксоре Частью ее также является поход по сувенирным,лавками
2,свет Хозяин вышел встречать девушку с оружием в руках что было не удивительно все таки оружейная,лавка
2,храме Успения Пресвятой Богородицы в Путинках Газету Успенский листок можно приобрести в церковной,лавке
2,Бен Иегуде Иерусалим вечером как женщина при свечах выглядел моложе Сумрак добавил вывешенным у,лавок
2,и готовиться по примерам вступительных экзаменов прошлых лет Книжек и брошюр полно во всех книжных,лавках
2,он проходил мимо Кира тот подставил ему подножку и молниеносно перенес стул на грохнувшегося посреди,лавки
2,Пиотровский Родин и К о и Реутов 88 Русская лавка Бакалейная торговля Малый базар Цветан трг,лавка
2,раздолье деликатесов и сувениров,лавок
2,целовать его пожелтевший глянец,лавке
2,310 лет назад вдова Бурн взяла в аренду дом 3 на Сент Джейм стрит и открыла здесь небольшую бакалейную,лавку
2,параллельно развиваются ни разу не пересекаясь несколько сюжетных линий Мальчишка уставший помогать маме в,лавке
1,непонаслышке знаю Служила же Но пока почти по Шекспиру бить или не бить дитя пока лежит поперек,лавки
1,обещало быть напряженным ведь Хайнкесс не выпустил на поле многих футболистов основного состава,лавке
1,Послевоенных времён лихолетье Драки разборки дворовой шпаны Шли дом на дом шли мы стенка на стенку,Лавки
1,силовое оборудование и свободные веса Гакк Присед Жим ногами Машина Смитта Силовая Рама Жимовые,лавки
1,замены прошлый сезон вспомни когда пришел Бурдиссо играла пара Жуан Бурдиссо с центре а Мексес грел,лавку
1,усилия кондуктор повертел бумажку в руках и сунул ее в компостер,лавкой
1,какие то свои стратегии поведения,лавку
1,необходимо для того чтобы на сыре образовалась ровная оранжевая корка без плесени и трещин,лавке
1,что отец Брюллова был резчиком по дереву и как выяснилось тоже работал дома Создавал резные ложки,лавки
1,заголосила В чёрных лохмотьях младшенькая сама от холода и голода чёрной стала Хлопнулась старуха на,лавку
1,хватились Сам Сергей еще чаще прочих начал про него поговаривать Присядет вечерком с молодцами на,лавку
1,надевают повязку ей на голову и одевают в рукавицы шубу шаль даже летом Оденут ее так она сядет на,лавку
1,преющего дерева гнилых овощей прокислой капусты соленых грибов чего то тухлого порченого Стулья,лавки
1,школы несколько детей дошкольного возраста облепили вольеры с курами и кроликами Внутри домика длинные,лавки
1,главврач Павловского детского костно туберкулезного санатория 1895 г Построен жилой дом и кирпичная,лавка
1,представителей Новгородского музея заповедника находка представляет собой яму размером три на три метра с двумя,лавками
1,от такого удобства откажутся практичные деревенские жители Да никогда Ведь как приятно на такой,лавке
1,ладони нищему вот смеху На обер мейстерову шубу По молью траченному меху По чердакам по пыльным,лавкам
1,кум и кума бабка повитуха Стол обязательно застилался белой скатертью на нее ставили хлеб соль На,лавку
1,вперёд цена баснословная за какое нить Йотомамомото А простая русская изба чем не минимализм,Лавка
1,рассчитанные на 12 24 вольта,лавок
1,ними всегда проблемы не очень приятно такое лицезреть хотя они же никому не мешают там что спят на,лавке
1,рождественского убранства являются химмели многочастные украшения из соломы Сеном и соломой устилали пол,лавки
1,Дневальные под руки ввели гостя хотели и мне помочь но нарвавшись на матюги отстали Ходока усадили на,лавку
1,выбрасывать,лавки
1,Так уникальный салон появился и у нас в Саратове на Московской 115 в ТК Мир,лавке
1,Мазов идет все малое население села с улиц разбегается забираясь кто за печь кто на полати кто под,лавку
1,Желтое с обозначенными всеми связками и костями тело митрополита было простерто на выскобленной липовой,лавке
1,комиссии заходил околоточный надзиратель с участковым врачом и дворником Они поверхностно осмотрели,лавку
1,царю встать позвал его к себе поздороваться карашеваться и велел ему сесть с правой руки на другой,лавке
1,представлениям о том каким полагается быть настоящему кабаку Пол в кабаке был усеян соломой столы и,лавки
1,наших звезд особенно это касается розовощекого которого нормальный тренер давно бы посадил его на,лавку
1,достаточно того он чуток Камелот воронеж просмотр объявления работа для себя как бы дозволить скатываясь с,лавки
1,Баскаково две минуты Вагон был пустой только несколько мешочников нахохлились на желтых деревянных,лавках
1,висящего через плечо Учеником к мастеру Алексу Он кузнец живет на кукуе Не пушу Она подошла к,лавке
1,Lahrn кстати тук тук это местное прозвище пикапа с полуоткрытым кузовом где вдоль боковых стенок на,лавках
1,хвостах и покажись ему что жена его лисица обманывает его вот и задумал он ее испытать Вытянулся под,лавкой
1,имевший никакой собственности с жалованьем по нескольку сот рублей в год выстроил огромный дом и ряд,лавок
1,отказать человеку вернуть деньги и извиниться А у него между прочим бизнес детей малых семеро по,лавкам
1,шпатлевочных слоев,лавку
1,Кто ты Судьба Вы ждали Долю а пришла я её сестра Суденица Судьба Мать опешила присаживается на,лавку
1,от тебя Не говоря уже о самой лавке Вот и приходится ему мыться с утра каждый день надраивать эту,лавку
1,в партии гусей односельчан в Ленинград и поступил на склад Губгусьпрода,лавке
1,знаю А вертолетик это здорово мнеб кто подарил,лавку
1,История вопроса Поляк выступает за бело голубых с 2008 года но в прошлом сезоне довольно прочно осел на,лавке
1,безработным и абсолютно вольным человеком Глаза и изящно смотрит на надутого сына заблаговременно нырнул под,лавку
1,платке Вы к кому девушка Да посмотрите внимательно вы должны меня узнать В комнату завела на,лавку
1,втором озере к нам подсела пара туристов которые молча взяли весла и кивком предложили нам сесть на,лавку
1,Черево по хозяйски откинул полог шатра вздохнул с облегчением Да здесь прохладно И какая широкая,лавка
1,при помощи синтетических материалов создавая при этом довольно неплохую теплоизоляцию Все лежаки,лавки
1,она Было адрессов адрессов все в доме заснули но им не до сна Сидят они рядом в уголке на широкой,лавке
1,смогла бы жить в таком Сразу за ним стоит полуразваленный серый домишко у которого стоит лавка а на,лавке
1,автобуса и погнали в 118 отделение милиции Там запихали за решетку в переполненный людьми загон с,лавками
1,когда внезапно раздался дверной звонок Международный разговор словно оглядевшись узами поздно как стали,лавки
1,всего провинциалы и туристы Улица протянулась на 5 5 км и по всей ее длине выстроились многие тысячи,лавок
1,живности не держит Но в доме Мне даже грустно стало Начиная от печки все черное чугуны кастрюли,лавки
1,благовония просили баснословные суммы но ходовой товар всегда находил своих покупателей и не залёживался на,лавках
1,спортбокса Он нам не нужен у нас таких пруд пруди привет Петракову из Владимира Вот так дебют а у нас,лавку
1,раздольна Волга Книзу кремля по овражистым скатам террасами к Волге посад с торгами на деревянных,лавках
1,марте начинали нестись рано по утрам мама их ощупывала и ту которая с яйцом несла в дом где под,лавкой
1,как сороки где ни поподя Думаешь с чего последние дни Силантий здесь сидит И хлопнул ладонью по,лавке
